file_path,file_name,config_type,issue_id,issue,severity,evidence,risk,suggested_fix,detector,source
data\configs\docker\docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_PRIVILEGED_CONTAINER,Privileged container,high,db: privileged true,Privileged containers disable important isolation controls.,Avoid privileged containers unless strictly required.,rule,docker_rules
data\configs\docker\docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_HOST_NETWORK_MODE,Host network mode,high,db: network_mode host,Host networking bypasses container network isolation.,Use isolated Docker networks instead of host networking.,rule,docker_rules
data\configs\docker\docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,db: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_PUBLIC_DATABASE_PORT,Public database port exposure,high,db: 3306:3306,Publishing database ports increases exposure to attacks.,Do not publish database ports publicly; use internal networks.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,admin: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,high,admin: 2375:2375,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,medium,admin: 8080:8080,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,cache: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_PUBLIC_DATABASE_PORT,Public database port exposure,high,cache: 6379:6379,Publishing database ports increases exposure to attacks.,Do not publish database ports publicly; use internal networks.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,search: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_PUBLIC_DATABASE_PORT,Public database port exposure,high,search: 9200:9200,Publishing database ports increases exposure to attacks.,Do not publish database ports publicly; use internal networks.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,high,search: 9200:9200,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_PRIVILEGED_CONTAINER,Privileged container,high,admin: privileged true,Privileged containers disable important isolation controls.,Avoid privileged containers unless strictly required.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_CONTAINER_NOT_READ_ONLY,Container filesystem is not read-only,info,admin: read_only not set,Writable filesystems increase the impact of container compromise.,Consider read_only: true where possible.,rule,docker_rules
data\configs\docker\docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,medium,admin: 8080:80,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_secure_01.yml,docker_secure_01.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,medium,app: 127.0.0.1:8080:80,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\docker\docker_secure_02.yml,docker_secure_02.yml,docker,DOCKER_EXPOSED_ADMIN_PORT,Exposed admin port,medium,api: 127.0.0.1:9090:9090,Admin interfaces should not be publicly exposed.,Bind admin interfaces to localhost or private networks.,rule,docker_rules
data\configs\firewall\firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,FW_PUBLIC_SSH_EXPOSURE,Public SSH exposure,high,allow tcp 0.0.0.0/0 22,Exposes SSH to untrusted networks.,Restrict SSH to trusted admin IP ranges.,rule,firewall_rules
data\configs\firewall\firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow tcp 0.0.0.0/0 22,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow all,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,any any,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_02.rules,firewall_baseline_02.rules,firewall,FW_PUBLIC_DATABASE_EXPOSURE,Public database/admin port exposure,high,allow tcp 0.0.0.0/0 5432,Exposes database/admin services to the public internet.,Do not expose database/admin ports publicly; restrict to private networks.,rule,firewall_rules
data\configs\firewall\firewall_baseline_02.rules,firewall_baseline_02.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow tcp 0.0.0.0/0 5432,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
data\configs\firewall\firewall_baseline_02.rules,firewall_baseline_02.rules,firewall,FW_PUBLIC_DATABASE_EXPOSURE,Public database/admin port exposure,high,allow tcp 0.0.0.0/0 9200,Exposes database/admin services to the public internet.,Do not expose database/admin ports publicly; restrict to private networks.,rule,firewall_rules
data\configs\firewall\firewall_baseline_02.rules,firewall_baseline_02.rules,firewall,FW_ALLOW_ALL_INBOUND,Allow all inbound,critical,allow tcp 0.0.0.0/0 9200,Allows unrestricted inbound traffic.,Replace broad allow rules with least-privilege rules.,rule,firewall_rules
