file_path,file_name,config_type,issue_id,issue,severity,evidence,risk,suggested_fix,detector,source
data/configs/docker/docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_INSECURE_ROOT_PASSWORD,Insecure root password for MySQL,critical,MYSQL_ROOT_PASSWORD: example,"Using a default or weak password like 'example' for the root database user is a critical security vulnerability. An attacker can easily guess this password and gain full control over the database, leading to data breaches, data manipulation, or denial of service.","Replace 'example' with a strong, unique, and randomly generated password. Consider using Docker secrets or a secret management system (e.g., Vault, AWS Secrets Manager) instead of hardcoding sensitive credentials in the configuration file.",model,gemini:gemini-2.5-flash
data/configs/docker/docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_PRIVILEGED_CONTAINER,Container running in privileged mode,critical,privileged: true,"Running a container with `privileged: true` grants it all capabilities to the host and allows access to host devices. This effectively removes all security isolation benefits of containers, making it nearly equivalent to running a process directly on the host. A compromise of this container could lead to a full compromise of the host system.",Avoid `privileged: true`. Review the application's requirements and grant only the necessary capabilities using `cap_add` or specific device mappings if absolutely required. Most applications do not need `privileged` mode.,model,gemini:gemini-2.5-flash
data/configs/docker/docker_baseline_01.yml,docker_baseline_01.yml,docker,DOCKER_HOST_NETWORK_MODE,Container using host network mode,high,network_mode: host,"When `network_mode: host` is used, the container shares the network namespace of the host. This means the container directly exposes its ports on the host's network interfaces, bypassing Docker's network isolation. Any service running inside the container that binds to a port will be accessible on the host's IP address, significantly increasing the attack surface of the host and potentially exposing internal services to external networks.","Avoid `network_mode: host`. Use Docker's default bridge network or a custom bridge network for better isolation. Expose only the necessary ports using the `ports` mapping feature (e.g., `- '3306:3306'` on a bridge network) to control network access.",model,gemini:gemini-2.5-flash
data/configs/docker/docker_baseline_02.yml,docker_baseline_02.yml,docker,DOCKER_DAEMON_API_EXPOSED_UNAUTHENTICATED,Docker daemon API exposed without authentication/TLS,critical,"- ""2375:2375""","Exposing port 2375 allows unauthenticated and unencrypted access to the Docker daemon API. An attacker gaining access to this port can execute arbitrary commands on the host system as root, leading to a complete host compromise.","Do not expose Docker daemon API port (2375) to external networks or even to other containers unless absolutely necessary and secured with TLS and authentication. If remote access is required, use SSH tunneling or secure the daemon with TLS and client certificates. Remove the port mapping `2375:2375` from the service configuration.",model,gemini:gemini-2.5-flash
data/configs/docker/docker_baseline_02.yml,docker_baseline_02.yml,docker,REDIS_PORT_EXPOSED_UNAUTHENTICATED,Redis default port exposed without explicit authentication or network restriction,high,"- ""6379:6379""","Exposing Redis without authentication allows unauthorized users to access, modify, and delete data in the Redis cache. This can lead to data breaches, data corruption, and potentially remote code execution (e.g., via cronjob exploits or Redis modules) if the attacker can write files to the host or execute commands through Redis.","Configure Redis with a strong password using `requirepass` in its configuration. Restrict network access to Redis by only binding to internal interfaces (`127.0.0.1` or internal Docker networks) or using a firewall. Do not expose Redis directly to the public internet. If external access is required, implement a secure proxy or VPN.",model,gemini:gemini-2.5-flash
data/configs/docker/docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER-PRIV-001,Container running in privileged mode,critical,privileged: true,"Running a container in privileged mode grants it full root capabilities on the host system, disabling all security mechanisms. A compromised privileged container can gain complete control over the host, leading to severe system compromise.","Remove the `privileged: true` flag. Instead, grant only necessary capabilities using the `cap_add` directive (e.g., `cap_add: - NET_ADMIN`) or use a more restrictive security context. Avoid running containers with excessive privileges unless absolutely unavoidable and fully understood.",model,gemini:gemini-2.5-flash
data/configs/docker/docker_baseline_03.yml,docker_baseline_03.yml,docker,DOCKER-EXPOSED-PORT-002,Elasticsearch service port exposed to host network,medium,"- ""9200:9200""","Exposing Elasticsearch to the host's network, especially on a public-facing host without additional network restrictions, increases the attack surface. While Elasticsearch 8 includes security by default, it still makes the service accessible from the host's external interfaces, potentially exposing it to unauthorized access attempts or vulnerabilities.","If Elasticsearch is only intended for internal access (e.g., by other containers), bind its port to `127.0.0.1` (e.g., `- '127.0.0.1:9200:9200'`) or restrict access using host-level firewall rules. Ensure strong authentication and access controls are properly configured within Elasticsearch.",model,gemini:gemini-2.5-flash
data/configs/docker/docker_secure_01.yml,docker_secure_01.yml,docker,DOCKER_WEAK_PASSWORD,Use of a weak or default password for a critical service,critical,MYSQL_ROOT_PASSWORD: example,"Using a weak or default password like 'example' for the MySQL root user makes the database highly vulnerable to unauthorized access. An attacker could easily guess this password, gain full control over the database, and potentially compromise sensitive data or the entire system.","Replace 'example' with a strong, unique, and randomly generated password. Consider using Docker secrets or an external secret management system for production environments to avoid hardcoding credentials in configuration files.",model,gemini:gemini-2.5-flash
data/configs/firewall/firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,NCG-FW-001,SSH access allowed from any IP (0.0.0.0/0),high,allow tcp 0.0.0.0/0 22,"Allowing SSH access from all IP addresses significantly increases the attack surface for brute-force attacks, credential stuffing, and other SSH-specific exploits. Malicious actors can attempt to gain unauthorized access from anywhere on the internet.","Restrict SSH access to specific trusted IP addresses or ranges. If broad access is temporarily necessary, implement strong authentication (key-based only), disable password authentication, use a VPN, and enable rate limiting/intrusion prevention (e.g., fail2ban).",model,gemini:gemini-2.5-flash
data/configs/firewall/firewall_baseline_01.rules,firewall_baseline_01.rules,firewall,NCG-FW-002,Firewall allows all incoming and outgoing traffic,critical,allow all,"The 'allow all' rule completely negates the purpose of a firewall, making the system entirely vulnerable to all types of network-based attacks. It exposes all services and ports to potential exploitation, data breaches, and unauthorized access from any source on the network or internet.","Remove the 'allow all' rule. Implement a default deny policy (e.g., 'deny all' or 'drop all' as a final rule) and explicitly define only the minimum necessary rules for services that require external access, restricting source IPs and ports as much as possible.",model,gemini:gemini-2.5-flash
